Total Tests,Range Test Size,Number of Segments Test Size,Runtime
9540.0,795.0,12.0,4.781003952026367
12720.0,795.0,16.0,5.603053092956543
8745.0,795.0,11.0,5.003063201904297
5565.0,795.0,7.0,2.593064069747925
4770.0,795.0,6.0,2.2570533752441406
16695.0,795.0,21.0,9.572011232376099
13515.0,795.0,17.0,7.003063917160034
15900.0,795.0,20.0,9.25406265258789
3180.0,795.0,4.0,1.0109460353851318
2385.0,795.0,3.0,0.9410011768341064
6360.0,795.0,8.0,3.0859456062316895
11028.0,919.0,12.0,6.004998683929443
14704.0,919.0,16.0,7.417053937911987
10109.0,919.0,11.0,5.7280542850494385
6433.0,919.0,7.0,3.691065788269043
5514.0,919.0,6.0,3.5959465503692627
19299.0,919.0,21.0,9.71799349784851
15623.0,919.0,17.0,7.277998685836792
18380.0,919.0,20.0,9.240988731384277
3676.0,919.0,4.0,1.488994836807251
2757.0,919.0,3.0,1.6800651550292969
7352.0,919.0,8.0,3.671997547149658
7212.0,601.0,12.0,3.7159976959228516
9616.0,601.0,16.0,4.434065103530884
6611.0,601.0,11.0,3.6809465885162354
4207.0,601.0,7.0,1.9820053577423096
3606.0,601.0,6.0,1.7290525436401367
12621.0,601.0,21.0,6.255997896194458
10217.0,601.0,17.0,5.23405385017395
12020.0,601.0,20.0,7.340064525604248
2404.0,601.0,4.0,1.6750123500823975
1803.0,601.0,3.0,0.7210440635681152
4808.0,601.0,8.0,2.850053310394287
10992.0,916.0,12.0,6.567998170852661
14656.0,916.0,16.0,8.409063339233398
10076.0,916.0,11.0,5.387987852096558
6412.0,916.0,7.0,4.711998701095581
5496.0,916.0,6.0,2.3200535774230957
19236.0,916.0,21.0,11.235052108764648
15572.0,916.0,17.0,7.5319342613220215
18320.0,916.0,20.0,9.800063610076904
3664.0,916.0,4.0,1.282013177871704
2748.0,916.0,3.0,1.386051893234253
7328.0,916.0,8.0,4.1600000858306885
9480.0,790.0,12.0,5.728000164031982
12640.0,790.0,16.0,6.7399985790252686
8690.0,790.0,11.0,3.9489998817443848
5530.0,790.0,7.0,3.931999444961548
4740.0,790.0,6.0,2.7440528869628906
16590.0,790.0,21.0,8.453004598617554
13430.0,790.0,17.0,7.5840003490448
15800.0,790.0,20.0,7.916060447692871
3160.0,790.0,4.0,2.4439971446990967
2370.0,790.0,3.0,1.013988971710205
6320.0,790.0,8.0,3.945000410079956
4788.0,399.0,12.0,2.6250574588775635
6384.0,399.0,16.0,3.3609542846679688
4389.0,399.0,11.0,2.0639922618865967
2793.0,399.0,7.0,1.2149455547332764
2394.0,399.0,6.0,1.1950604915618896
8379.0,399.0,21.0,5.6840503215789795
6783.0,399.0,17.0,3.593998670578003
7980.0,399.0,20.0,4.225999116897583
1596.0,399.0,4.0,0.8789997100830078
1197.0,399.0,3.0,0.909998893737793
3192.0,399.0,8.0,1.4259998798370361
6396.0,533.0,12.0,3.938005208969116
8528.0,533.0,16.0,5.059999704360962
5863.0,533.0,11.0,4.069056272506714
3731.0,533.0,7.0,1.8200576305389404
3198.0,533.0,6.0,1.7879853248596191
11193.0,533.0,21.0,5.499999046325684
9061.0,533.0,17.0,5.231999158859253
10660.0,533.0,20.0,5.379008769989014
2132.0,533.0,4.0,0.8980584144592285
1599.0,533.0,3.0,0.9529924392700195
4264.0,533.0,8.0,1.9789996147155762
1368.0,114.0,12.0,0.6479997634887695
1824.0,114.0,16.0,0.8479275703430176
1254.0,114.0,11.0,0.5590054988861084
798.0,114.0,7.0,0.3789937496185303
684.0,114.0,6.0,0.36104822158813477
2394.0,114.0,21.0,1.0799968242645264
1938.0,114.0,17.0,1.2299470901489258
2280.0,114.0,20.0,1.2249996662139893
456.0,114.0,4.0,0.3019988536834717
342.0,114.0,3.0,0.17405366897583008
912.0,114.0,8.0,0.5309982299804688
10440.0,870.0,12.0,4.469052076339722
13920.0,870.0,16.0,6.349053621292114
9570.0,870.0,11.0,5.787997484207153
6090.0,870.0,7.0,2.8580591678619385
5220.0,870.0,6.0,1.6750054359436035
18270.0,870.0,21.0,8.858999013900757
14790.0,870.0,17.0,8.418055057525635
17400.0,870.0,20.0,9.307998180389404
3480.0,870.0,4.0,1.2660000324249268
2610.0,870.0,3.0,1.2039992809295654
6960.0,870.0,8.0,3.8990516662597656
11856.0,988.0,12.0,5.029053449630737
15808.0,988.0,16.0,10.179004430770874
10868.0,988.0,11.0,5.0640504360198975
6916.0,988.0,7.0,4.063052177429199
5928.0,988.0,6.0,4.14394736289978
20748.0,988.0,21.0,10.620051145553589
16796.0,988.0,17.0,8.34200119972229
19760.0,988.0,20.0,11.033952713012695
3952.0,988.0,4.0,1.8180606365203857
2964.0,988.0,3.0,1.5939462184906006
7904.0,988.0,8.0,3.6500513553619385
10044.0,837.0,12.0,5.29899787902832
13392.0,837.0,16.0,8.236959457397461
9207.0,837.0,11.0,4.6640002727508545
5859.0,837.0,7.0,3.058058500289917
5022.0,837.0,6.0,2.2160000801086426
17577.0,837.0,21.0,10.488999843597412
14229.0,837.0,17.0,6.932053327560425
16740.0,837.0,20.0,7.117998123168945
3348.0,837.0,4.0,1.0060007572174072
2511.0,837.0,3.0,1.6869995594024658
6696.0,837.0,8.0,4.617998361587524
2676.0,223.0,12.0,1.4839990139007568
3568.0,223.0,16.0,2.0879459381103516
2453.0,223.0,11.0,0.838005781173706
1561.0,223.0,7.0,0.854055643081665
1338.0,223.0,6.0,0.4710521697998047
4683.0,223.0,21.0,2.4860098361968994
3791.0,223.0,17.0,2.378051996231079
4460.0,223.0,20.0,2.439997911453247
892.0,223.0,4.0,0.3980591297149658
669.0,223.0,3.0,0.29794740676879883
1784.0,223.0,8.0,0.9840536117553711
11184.0,932.0,12.0,6.643051385879517
14912.0,932.0,16.0,7.34894871711731
10252.0,932.0,11.0,5.680999040603638
6524.0,932.0,7.0,3.1450531482696533
5592.0,932.0,6.0,2.9880006313323975
19572.0,932.0,21.0,9.859046220779419
15844.0,932.0,17.0,8.789947509765625
18640.0,932.0,20.0,9.283004999160767
3728.0,932.0,4.0,2.6259939670562744
2796.0,932.0,3.0,0.7809967994689941
7456.0,932.0,8.0,3.7989561557769775
4692.0,391.0,12.0,2.350947141647339
6256.0,391.0,16.0,3.6040449142456055
4301.0,391.0,11.0,2.316056728363037
2737.0,391.0,7.0,1.2280523777008057
2346.0,391.0,6.0,1.1439456939697266
8211.0,391.0,21.0,4.365051984786987
6647.0,391.0,17.0,3.6350107192993164
7820.0,391.0,20.0,4.233040809631348
1564.0,391.0,4.0,0.8299980163574219
1173.0,391.0,3.0,0.5260581970214844
3128.0,391.0,8.0,1.7599985599517822
9936.0,828.0,12.0,6.655052185058594
13248.0,828.0,16.0,5.9180004596710205
9108.0,828.0,11.0,5.050060272216797
5796.0,828.0,7.0,3.065998077392578
4968.0,828.0,6.0,2.6840007305145264
17388.0,828.0,21.0,7.60703706741333
14076.0,828.0,17.0,6.952986240386963
16560.0,828.0,20.0,6.769053936004639
3312.0,828.0,4.0,1.3560519218444824
2484.0,828.0,3.0,1.3089981079101562
6624.0,828.0,8.0,2.8820018768310547
3012.0,251.0,12.0,1.3110570907592773
4016.0,251.0,16.0,1.917999505996704
2761.0,251.0,11.0,1.5210537910461426
1757.0,251.0,7.0,0.723006010055542
1506.0,251.0,6.0,0.9159994125366211
5271.0,251.0,21.0,2.445988416671753
4267.0,251.0,17.0,2.3490524291992188
5020.0,251.0,20.0,2.970060348510742
1004.0,251.0,4.0,0.32905125617980957
753.0,251.0,3.0,0.5469403266906738
2008.0,251.0,8.0,0.998054027557373
6372.0,531.0,12.0,2.50295352935791
8496.0,531.0,16.0,4.189942359924316
5841.0,531.0,11.0,3.0120458602905273
3717.0,531.0,7.0,1.7239980697631836
3186.0,531.0,6.0,2.0069942474365234
11151.0,531.0,21.0,5.102999687194824
9027.0,531.0,17.0,4.395936489105225
10620.0,531.0,20.0,5.7650532722473145
2124.0,531.0,4.0,0.962996244430542
1593.0,531.0,3.0,0.6789982318878174
4248.0,531.0,8.0,2.210998296737671
1380.0,115.0,12.0,0.7300539016723633
1840.0,115.0,16.0,0.9710512161254883
1265.0,115.0,11.0,0.6589400768280029
805.0,115.0,7.0,0.5840005874633789
690.0,115.0,6.0,0.18297481536865234
2415.0,115.0,21.0,1.1210529804229736
1955.0,115.0,17.0,1.1029448509216309
2300.0,115.0,20.0,1.1610338687896729
460.0,115.0,4.0,0.18596625328063965
345.0,115.0,3.0,0.14000511169433594
920.0,115.0,8.0,0.6099395751953125
3888.0,324.0,12.0,2.097005605697632
5184.0,324.0,16.0,2.8290469646453857
3564.0,324.0,11.0,2.1409449577331543
2268.0,324.0,7.0,1.3819992542266846
